scenario,policy,replica,n_total,n_small,n_large,n_errors,mean_ms,p50_ms,p95_ms,p99_ms,mean_ms_small,p95_ms_small,p99_ms_small,mean_ms_large,p95_ms_large,p99_ms_large,throughput_rps,fairness_cv
A,fifo,1,6000,6000,0,0,0.413,0.403,0.468,0.545,0.413,0.468,0.545,nan,nan,nan,99.997,0.09833
A,fifo,2,6000,6000,0,0,0.415,0.404,0.472,0.55,0.415,0.472,0.55,nan,nan,nan,100.0,0.10387
A,fifo,3,6000,6000,0,0,0.415,0.404,0.473,0.547,0.415,0.473,0.547,nan,nan,nan,99.992,0.10506
A,fifo,4,6000,6000,0,0,0.414,0.404,0.471,0.541,0.414,0.471,0.541,nan,nan,nan,99.994,0.10175
A,fifo,5,6000,6000,0,0,0.415,0.404,0.472,0.547,0.415,0.472,0.547,nan,nan,nan,99.997,0.09901
A,fifo,6,6000,6000,0,0,0.414,0.403,0.472,0.55,0.414,0.472,0.55,nan,nan,nan,99.992,0.09969
A,fifo,7,6000,6000,0,0,0.415,0.403,0.477,0.562,0.415,0.477,0.562,nan,nan,nan,99.994,0.10902
A,fifo,8,6000,6000,0,0,0.415,0.404,0.475,0.546,0.415,0.475,0.546,nan,nan,nan,100.0,0.09842
A,fifo,9,6000,6000,0,0,0.414,0.403,0.467,0.537,0.414,0.467,0.537,nan,nan,nan,99.996,0.09858
A,fifo,10,6000,6000,0,0,0.414,0.403,0.473,0.539,0.414,0.473,0.539,nan,nan,nan,99.999,0.09727
A,fifo,11,6000,6000,0,0,0.414,0.403,0.477,0.562,0.414,0.477,0.562,nan,nan,nan,99.999,0.10589
A,fifo,12,6000,6000,0,0,0.414,0.403,0.471,0.548,0.414,0.471,0.548,nan,nan,nan,99.995,0.09875
A,fifo,13,6000,6000,0,0,0.414,0.403,0.469,0.539,0.414,0.469,0.539,nan,nan,nan,99.996,0.09409
A,fifo,14,6000,6000,0,0,0.414,0.403,0.465,0.55,0.414,0.465,0.55,nan,nan,nan,99.998,0.0992
A,fifo,15,6000,6000,0,0,0.414,0.403,0.474,0.547,0.414,0.474,0.547,nan,nan,nan,99.994,0.09985
A,fifo,16,6000,6000,0,0,0.414,0.403,0.466,0.545,0.414,0.466,0.545,nan,nan,nan,99.997,0.10417
A,fifo,17,6000,6000,0,0,0.414,0.404,0.469,0.548,0.414,0.469,0.548,nan,nan,nan,99.998,0.10079
A,fifo,18,6000,6000,0,0,0.414,0.403,0.47,0.553,0.414,0.47,0.553,nan,nan,nan,99.998,0.1014
